dataset,shape_class,model_name,split
ShapeNet,faucet,35fa2ea1fc9f855e14b35a7d7cea7130,train
ShapeNet,faucet,882d5e269c44830976c18e71fd49c4dc,train
ShapeNet,faucet,5f76becd78c7eb2bb362845c6edb57fc,train
ShapeNet,faucet,944985ecba6082483792c04fd8184496,train
ShapeNet,faucet,d20f44a49586d3d3e61ee99f7b43d0a0,train
ShapeNet,faucet,dd98f4c4066ad773792c04fd8184496,test
ShapeNet,faucet,6b513f89b3b0a06b2b3e9b6eb52d35df,test
ShapeNet,faucet,ed88b271bff935dc4bbbee4015534b3,test
ShapeNet,faucet,f0c7d88a8ee66e2ec36fb70296e45483,train
ShapeNet,faucet,df36cb46f484094ac2185cc0ca1b306b,train
ShapeNet,faucet,e09fdcf6ca6cc44969f45219d1cec82,train
ShapeNet,faucet,4af74fd7eaac11a2b7a867e9b35a1295,train
ShapeNet,faucet,d67146079abb59a43321831d2245cf06,train
ShapeNet,faucet,482e8134a2d5461b14b35a7d7cea7130,train
ShapeNet,faucet,6975759bc0f32b912f9e27b3b2a34f3b,train
ShapeNet,faucet,3c8af998b8d3336c7793996e6e93af11,train
ShapeNet,faucet,e26918664dbd68eb7a867e9b35a1295,train
ShapeNet,faucet,6f3d84d580aa77f0c36fb70296e45483,test
ShapeNet,faucet,a951f273c8dee77f96a7dbf21dc55841,train
ShapeNet,faucet,69fd9452cf1cbeabb362845c6edb57fc,train
ShapeNet,faucet,af09dbd4880d1fc8b362845c6edb57fc,val
ShapeNet,faucet,9f6a53de1239fd6f50da8b99982a3057,test
ShapeNet,faucet,c1c7a391d18c9ac54392467549e2de91,train
ShapeNet,faucet,591f34168e565c1f1f195495a075a72c,test
ShapeNet,faucet,1f833904413559adc837473125b7231e,train
ShapeNet,faucet,114546cb7b19119da70cb86be490e5e,train
ShapeNet,faucet,7313e873a641411b979c556124bee033,train
ShapeNet,faucet,110a839cc3fbc8013321831d2245cf06,train
ShapeNet,faucet,66b11d49e1b91a7438dd26a27be095eb,train
ShapeNet,faucet,8b12d095112cbf23ac9cfb689e5db0da,train
ShapeNet,faucet,50bf9cea0963f340ee0aa55e2c8ca202,train
